0,0.05146796
10,0.04649508
20,0.08107168
30,0.18128432
40,0.26470885
50,2.1730442
60,0.42554325
70,0.58476233
80,0.95129335
90,1.0605472
100,3.9364781
110,2.890833
120,2.395169
130,2.6223917
140,5.180129
150,4.0816197
160,7.6195264
170,5.0567327
180,6.491074
190,10.070954
200,8.045207
210,10.020442
220,10.532459
230,13.031127
240,14.640549
250,14.826172
260,16.532167
270,18.553564
280,22.418447
290,22.574587
300,25.284733
310,26.615915
320,29.733858
330,32.181564
340,35.39427
350,37.99191
360,41.145363
370,44.57218
380,51.244812
390,54.606945
400,57.746365
410,61.27652
420,66.43573
430,70.53766
440,74.368126
450,78.72287
460,83.97985
470,89.24315
480,95.050995
490,101.59799
500,106.34272
