n,x
0,0
10,55
20,60
30,66
40,70
50,71
60,73
70,74
80,75
90,79
100,81
110,84
120,90
130,92
140,96
150,105
160,109
170,111
180,113
190,116
200,121
210,122
220,130
230,138
240,145
250,155
260,164
270,173
280,184
290,198
300,212
310,224
320,239
330,256
340,270
350,288
360,299
370,308
380,314
390,331
400,347
410,359
420,373
430,391
440,405
450,425
460,441
470,452
480,474
490,488
500,513
