n,x
0,0.05656736
10000,4.80533405999999985
20000,7.2924909600000003
30000,10.98300659999999951
40000,13.67492593999999961
50000,17.58451444000000308
60000,20.08687096000000238
70000,23.41703264000000217
80000,26.71741676000000254
90000,29.44470301999999862
100000,32.73610863999999765
110000,36.00375935999999655
120000,40.69926729999999537
130000,42.89432693999999913
140000,46.88978323999999986
150000,48.85165424000000201
160000,51.9908805600000008
170000,55.24859584000000012
180000,59.1567387999999994
190000,61.74648249999999905
200000,64.79975970000000984
210000,68.75091404000001205
220000,71.83463385999999673
230000,75.1840333199999975
240000,78.28621694000000275
250000,80.96829501999999934
260000,84.19378788000000213
270000,87.42930909999999756
280000,90.44455030000000306
290000,93.90356931999998835
300000,98.23007805999999675
310000,100.12871573999998986
320000,103.1480220600000024
330000,106.30409718000001362
340000,109.91213720000000365
350000,113.38910205999999903
360000,117.152247040000006
370000,119.33744490000000837
380000,123.16596248000000458
390000,126.10677241999999865
400000,129.92089676000000509
410000,133.98982778000001304
420000,135.68920158000000242
430000,138.88617641999999819
440000,143.18405547999998362
450000,146.09522843999999964
460000,149.30163206000000287
470000,152.17502046000001314
480000,155.15368828000001145
490000,160.45944274000001428
500000,161.97398622000000046
