n,x
0,0.001800
1,0.001000
2,0.002200
3,0.003000
4,0.004800
5,0.015000
6,0.049200
7,0.220200
8,0.500800
9,2.577400
10,12.117600
11,69.914000
12,311.590000
13,2060.324000
14,14738.914000
15,99404.636000
