n,x
0,0.003400
1,0.003800
2,0.006200
3,0.010400
4,0.029600
5,0.107000
6,0.310200
7,0.406200
8,1.195000
9,6.406000
10,22.609800
11,102.307200
12,560.575600
13,3186.400400
14,23143.726000
15,157581.865000
