n,x
0,0.0071
10000,47.4857
20000,96.8078
30000,136.6273
40000,189.8942
50000,241.6415
60000,290.6677
70000,356.11
80000,409.0734
90000,472.0242
100000,538.833
110000,616.5554
120000,675.3803
130000,756.7069
140000,846.8648
150000,907.8044
160000,1017.5086
170000,1257.5915
