n,x
0,0.0052
100,2.5842
200,6.803
300,11.2538
400,16.1372
500,25.5131
600,34.9207
700,44.2808
800,58.5254
900,75.1761
1000,94.62465
1100,116.21255
1200,147.6118
1300,173.05805
1400,212.5393
1500,256.92355
1600,363.6796
1700,375.32815
1800,456.1306
1900,527.90525
2000,599.134
2100,653.575
2200,733.63205
2300,843.9252
2400,945.1035
2500,1062.8844
