n,x
0,0.0146
1,0.0256
2,0.0514
3,0.0832
4,0.1998
5,0.7088
6,0.6464
7,1.3322
8,3.6504
9,8.2744
10,20.4904
11,32.9248
12,73.4426
13,138.5
14,302.5034
15,629.4852
16,1519.234
